Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,ndwi_mean,ndwi_min,ndwi_max,cire_mean,cire_min,cire_max,ndre1_mean,ndre1_min,ndre1_max,dia,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
153,2023-04-11,16,0.1892339640030704,0.1448118586088939,0.3417840375586854,-0.1581397883903816,-0.3235231392621028,-0.0526151444184231,1.3825104022786616,1.1110744891232696,1.9564943253467844,0.3125163957187324,0.2815808045165843,0.3833494675701839,0.4533040815228094,0.3003533568904593,1.0052471692902514,-0.3125163957187324,-0.3833494675701839,-0.2815808045165843,0.2179328772601159,0.1393284446159783,0.6431095406360423,0.0468876975372543,0.0200880045915439,0.1838500360490266,1,0.10017634099765935,0.0972109532137147,0.2629341811946549,0.21522291343858624,0.19502305631372482,0.015441321735864062
156,2023-05-11,16,0.2141491378869322,0.1757482732156561,0.2719374456993918,-0.2972772826994612,-0.3463098134630981,-0.2073614380483629,1.8486207484413468,1.5232181425485962,2.05955334987593,0.2829543861350223,0.2445369406867846,0.3343023255813953,0.8351246218613402,0.4972954109230501,1.3868962219033956,-0.2829543861350223,-0.3343023255813953,-0.2445369406867846,0.3062823410509087,0.1910598413842825,0.8868613138686132,0.0758711620913981,0.046079779917469,0.2425708362128542,31,0.14166261152769716,0.13999158849915677,0.17366088560177512,0.18163164953380032,0.19405214477144678,0.2106925101912888
157,2023-05-16,16,0.1844291534698559,0.1481122942884801,0.2654614652711703,-0.3367029404202236,-0.3890618052467763,-0.2368655387355298,2.0186971441209924,1.6207701283547258,2.273653566229985,0.299778685765007,0.2606060606060606,0.3551912568306011,0.43140096274113,0.301610541727672,0.6887188348555912,-0.299778685765007,-0.3551912568306011,-0.2606060606060606,0.2130787637827186,0.1320921985815601,0.9864864864864864,0.0490019722138734,0.017094017094017,0.2904109589041095,36,0.14857698994937013,0.14710043119127636,0.16462338716226319,0.17747442128209603,0.1907872523728708,0.21357794382503584
158,2023-05-21,16,0.1708478111733682,0.1009174311926605,0.2647289866457187,-0.3207889783995176,-0.4378053363397219,-0.1653244907626717,1.958418535333056,1.3961407491486946,2.557486631016043,0.2585343802187957,0.1895861148197596,0.3275862068965517,0.530575362642031,-45.75,4.016393442622951,-0.2585343802187957,-0.3275862068965517,-0.1895861148197596,0.2453300111362713,0.0905923344947734,1.1536113936927772,0.0412122783640556,-0.0136098509397278,0.307502641775273,41,0.1554913683710431,0.1542031986865995,0.15711772557864578,0.1738338389933438,0.18721675093866288,0.21208070199057333
164,2023-06-20,16,0.1802313215757235,0.143963847643641,0.2456538170823885,-0.2931441041192898,-0.3500635324015247,-0.2004816375677302,1.832273832346582,1.5015060240963856,2.0772238514174,0.2450483464654233,0.2090313182811362,0.2921265636497424,0.7535033174948738,0.5078255078255078,1.150855365474339,-0.2450483464654233,-0.2921265636497424,-0.2090313182811362,0.2353766707204837,0.1562829989440337,1.1075731497418246,0.052854136393971,0.0245508982035928,0.2764632627646326,71,0.19697763890108094,0.19669222452581403,0.1413725990686998,0.16449016852080386,0.16848777938917658,0.1663065155082611
165,2023-06-25,16,0.1607262887493437,0.1247863247863247,0.2509293680297397,-0.3427171251262635,-0.3956457685382223,-0.2327350167325829,2.0466125152380195,1.6066613798572562,2.30931744312026,0.2504081242492875,0.2146008824709185,0.3087019931939718,0.4832640247896069,0.3695861405197305,0.8166969147005444,-0.2504081242492875,-0.3087019931939718,-0.2146008824709185,0.1898672511677456,0.1067221067221066,1.0842911877394634,0.0408512291961489,0.012664907651715,0.2859097127222982,76,0.20389201732275392,0.20375246564356236,0.1431499299853311,0.16523215704997962,0.16703058150276243,0.1591138219632674
166,2023-07-05,16,0.1758351646440938,0.1456548347613219,0.2434514637904468,-0.3002481277203602,-0.3594239198497182,-0.190364277320799,1.8610813823681591,1.4702467343976775,2.1221896383186705,0.2524834092729482,0.2186379928315412,0.3053715967623252,0.5601187006516003,0.4328846853401236,0.7812087622063869,-0.2524834092729482,-0.3053715967623252,-0.2186379928315412,0.2142748786402071,0.1456090651558073,0.8776371308016877,0.0548953682476547,0.0192662971760358,0.2469018112488084,86,0.21772077416609986,0.2178547222886698,0.15001450819787304,0.1688318845041478,0.16641128503727987,0.14906906458844815
167,2023-07-10,16,0.197920805315658,0.1461214672279013,0.2901520158625247,-0.309731005934805,-0.3713592233009709,-0.1958322201442693,1.901962208013396,1.4870431893687708,2.1814671814671813,0.2569155304684596,0.2139303482587064,0.3162508428860418,0.8440293762941132,0.5351017608049393,2.6224010731052982,-0.2569155304684596,-0.3162508428860418,-0.2139303482587064,0.2984818887324294,0.1728665207877462,1.292020373514431,0.0685443762002617,0.0297239915074309,0.3241537578886976,91,0.22463515258777284,0.2248967378160289,0.15499890795871152,0.17170776792311387,0.16737961189163905,0.1466677455587314
168,2023-07-15,16,0.2405293879975738,0.1812910707383069,0.3208305425318151,-0.2371540296344684,-0.3189024390243902,-0.1424604276589836,1.6254164686092445,1.3322538860103628,1.9364368845120856,0.2903249400883801,0.2503097893432466,0.3366197183098591,0.8364601904212383,0.5563463819691578,1.1691123406302624,-0.2903249400883801,-0.3366197183098591,-0.2503097893432466,0.3484417279954683,0.2313701923076923,0.9933774834437086,0.1031284760654549,0.0697071780253951,0.2727272727272727,96,0.23154953100944578,0.2319326781465916,0.16094948313254664,0.1753084052483864,0.1692676161841998,0.14620007175836824
169,2023-08-04,16,0.2715986765493699,0.1966439433665443,0.3440814594823929,0.069050717134356,-0.0034984349106978,0.1198719231538923,0.8720402106603218,0.7859185132237312,1.0070214338507022,0.2291885140160328,0.1684587813620071,0.2815533980582524,-5.438378497924098,-370.625,1010.0,-0.2291885140160328,-0.2815533980582524,-0.1684587813620071,0.4588396038941513,0.3219026548672565,0.6403409090909091,0.1458062393499661,0.1007212136284506,0.1848077813802686,116,0.25920704469613765,0.26001568750087833,0.19338506260713095,0.19695707206598,0.1866012104210098,0.1642359626784895
