Variable,R2,P_values,MSE,Params,RMSE
ndvi_max,0.8650813668841898,[2.13835146e-04 1.16797262e-05],3287.3091941599214,[-144.99108525  276.59868279],57.33506077575851
ndvi_mean,0.7704803357837011,[0.0017556 0.0001744],2927.825275978064,[-163.15401342  382.16941576],54.10938251336882
gndvi_max,0.9461372367050651,[1.58308008e-06 1.14163229e-07],3595.3214994792474,[-186.61608958  393.60443062],59.96099982054375
gndvi_mean,0.8578475670821462,[1.28597561e-04 1.52171530e-05],3259.8207549121553,[-208.37175578  510.13482674],57.094840002509464
cire_max,0.8894473992642512,[1.15247228e-01 4.26559910e-06],3379.9001172041544,[-14.7292005   35.69330389],58.13690839048938
cire_mean,0.826346647944274,[8.61310092e-02 4.20329403e-05],3140.1172621882415,[-23.45705626  56.67087431],56.03674921146159
ndre1_max,0.874505477452775,[1.29712488e-03 8.09604750e-06],3323.1208143205445,[-68.67630315 291.39884489],57.646516064030656
ndre1_mean,0.7945778924616903,[5.12474924e-03 9.89236244e-05],3019.395991354423,[-81.85769688 433.3038667 ],54.94903085000156
msi_mean,0.6822039001279301,[0.46986116 0.80232965 0.97277861],1296.1874102430672,[ 193.89529049 -151.58363124  -11.68856352],36.0026028259495
lluvia_acum,0.20443452309325183,[0.31504189 0.14001209],776.8511877543569,[-116.75395727    0.27234047],27.872050296925718
etc_acum,0.48011689169354943,[0.21702588 0.01248537],1824.4441884354878,[-46.4718712    0.08484071],42.71351294889578
