Parcela,Fecha,dias,ndvi,gndvi,cire,ndre1,ndre,ndmi,msi,temp,dia_x,reconstruida_temp,ajustados_temp,srf,dia_y,reconstruida_srf,ajustados_srf,precip,precip_acum,et,dia,reconstruida_et,ajustados_et,et_acum,et_acum_ajustados,rh12,rh12_holtwin_predicts,kc,etc,etc_acum
9,2023-08-14,1.0,0.0727278596,0.1704012723,-0.5018025705,-0.0556583531,-0.023004543,-0.4069321954,1.9665358334,303.97653,1322,304.145207683686,302.9096462954861,25525066.0,1322,25252257.21298412,22852084.93068447,2.94,2.94,5.910779,1322,5.902965475366294,5.128621576680512,5.910779,5.128621576680512,48.711075,54.14462321145899,0.25363703854,1.4991924810244228,1.4991924810244228
9,2023-08-15,2.0,0.078769497,0.1744040491,-0.4752494591999999,-0.0507819338,-0.0177399842,-0.4012856139,1.9546647185,302.645,1323,303.7670485821933,302.8485624521685,24782576.0,1323,24597075.038170703,22771491.103930783,0.82,3.76,5.6426835,1323,5.664443136942361,5.105547438704954,11.5534625,10.234169015385463,49.389023,49.59751393449139,0.26058492155,1.4703982371789797,2.9695907182034027
9,2023-08-16,3.0,0.0847821668,0.1783883567,-0.4488306184999999,-0.0459297515,-0.0125010405999999,-0.3956622845999999,1.9428431672,303.70435,1324,303.4417355542922,302.78637369652466,27004868.0,1324,24002088.01837296,22690012.870975014,0.06,3.82,6.061805,1324,5.47349910344029,5.08225476528823,17.6152675,15.316423780673697,41.680202,51.00571291961318,0.26749949182,1.621529757011935,4.591120475215337
9,2023-08-17,4.0,0.090765869,0.1823541951,-0.4225460484,-0.0411018062,-0.0072877122,-0.3900622075,1.9310711795,304.09732,1325,303.18961259244094,302.72309867831177,26321920.0,1325,23523054.19414106,22607674.898744177,0.41,4.23,6.216256,1325,5.351812894975128,5.058750532738913,23.831523500000003,20.375174313412607,44.233463,44.46345287744076,0.27438074935,1.7056209794314334,6.296741454646771
9,2023-08-18,5.0,0.0967206036,0.1863015643,-0.3963957488999999,-0.0362980979,-0.002099999,-0.3844853826,1.9193487554,303.4217,1326,303.0017680756967,302.65875637304566,20735118.0,1326,23176627.99883636,22524502.11444492,2.22,6.449999999999999,4.7797956,1326,5.29712474438304,5.035041780728923,28.611319100000003,25.41021609414153,50.190517,46.78010703189212,0.28122869414,1.3442156748441179,7.6409571294908885
9,2023-08-19,6.0,0.1026463706,0.1902304643,-0.3703797199999999,-0.0315186266,0.003062099,-0.3789318098999999,1.9076758949,302.75558,1327,302.8468643658145,302.5933660763105,17123828.0,1327,22939766.770202786,22440519.69801707,2.4,8.85,4.1777487,1327,5.284314807853968,5.011135610185103,32.789067800000005,30.42135170432664,51.07736,47.63854487600548,0.28804332619,1.2033726315339486,8.844329761024838
9,2023-08-20,7.0,0.10854317,0.1941408951,-0.3444979616999999,-0.0267633923,0.0081985818,-0.3734014894,1.896052598,301.6864,1328,302.6873247468924,302.526947397972,23798826.0,1328,22763359.33590181,22355753.07451047,4.05,12.9,5.4061155,1328,5.274865113161652,4.987039181162429,38.195183300000004,35.40839088548906,46.117672,46.382373377215245,0.2948246455,1.5938560858195552,10.438185846844393
9,2023-08-21,8.0,0.1144110018,0.1980328567,-0.3187504739999999,-0.022032395,0.0133094494,-0.3678944211,1.8844788647,302.43295,1329,302.49913708396866,302.4595202562969,24764428.0,1329,22595407.927380893,22270227.90638783,0.18,13.079999999999998,5.7593837,1329,5.231685333565387,4.962759710699556,43.954567000000004,40.37115059618862,43.32309,54.10795071771789,0.30157265207,1.7368726166977293,12.175058463542122
9,2023-08-22,9.0,0.1202498659999999,0.2019063491,-0.2931372568999999,-0.0173256347,0.0183947018,-0.362410605,1.872954695,304.32022,1330,302.2877256672664,302.3911048719795,25722974.0,1330,22405521.5509942,22183970.085755613,0.4,13.48,5.66366,1330,5.1341689166817535,4.938304470657245,49.618227000000005,45.30945506684586,37.49618,46.89449379496164,0.3082873458999999,1.7460347094799935,13.921093173022115
9,2023-08-23,10.0,0.1260597625999999,0.2057613723,-0.2676583104,-0.0126431114,0.023454339,-0.3569500411,1.8614800889,300.98938,1331,302.0932288052469,302.32172176207774,18319200.0,1331,22201681.852283053,22097005.72652532,9.94,23.42,4.058499,1331,4.9879924755131,4.913680785540406,53.676726,50.22313585238627,55.982445,40.73451193833027,0.3149687269899999,1.2783002635201877,15.199393436542302
