Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,ndwi_mean,ndwi_min,ndwi_max,dia,msi_mean_pred_1,msi_mean_pred_2,msi_mean_pred_3,msi_mean_pred_4,msi_mean_pred_5,msi_mean_pred_6
206,2022-05-01,2,0.1563744254942061,0.0804447351209941,0.2,-0.163946182219198,-0.2584352984797923,-0.0161490683229813,1.3991255653338848,1.0328282828282829,1.697,0.2238218947916121,0.1207598371777476,0.3030056864337936,0.8121129811789731,-6.131221719457014,47.77777777777778,-0.2238218947916121,-0.3030056864337936,-0.1207598371777476,0,1.3723899964715014,1.5906636576309054,1.5442342093108676,1.4671343022680778,1.4162696879847094,1.3928417282455892
123,2022-05-06,2,0.1738282385040526,0.0795454545454545,0.2219752302318196,-0.1782553512732216,-0.2490528974322997,-0.029253451907325,1.440872132030156,1.0602700096432016,1.663303437967115,0.228262888431588,0.1111111111111111,0.3023872679045092,-1.3881842212618798,-921.6666666666669,21.77165354330709,-0.228262888431588,-0.3023872679045092,-0.1111111111111111,5,1.3541671767822634,1.543885300128272,1.5096546789597078,1.463787215158271,1.4434070061085598,1.4379677480637705
122,2022-05-11,2,0.1930608346891495,0.1430997876857749,0.228395061728395,-0.1962978163573591,-0.2412626832018038,-0.1067859021567596,1.4901987331139774,1.2391048292108362,1.6359583952451708,0.2906124944425111,0.250348351137947,0.3362799263351749,0.4955332600740265,0.3376076938489281,0.6631299734748011,-0.2906124944425111,-0.3362799263351749,-0.250348351137947,10,1.3359443570930256,1.4981351437963302,1.4749462611301893,1.4551933196703981,1.4570408841079592,1.4628798744704206
124,2022-05-16,2,0.2189230045647799,0.1607651607651607,0.2666105971404541,-0.1660601079482355,-0.2181568088033012,-0.0877611940298507,1.3999050644074558,1.192408376963351,1.558057705840957,0.3229361196455405,0.2812219227313567,0.378563695416817,0.5190454036304265,0.3573994252873563,0.6906077348066298,-0.3229361196455405,-0.378563695416817,-0.2812219227313567,15,1.3177215374037878,1.4534131886350807,1.4401502326378195,1.4418168047421656,1.4588829451439527,1.470775539267368
121,2022-05-21,2,0.2209486474585293,0.1506258092360811,0.2837688627162311,-0.1731993227700181,-0.2270642201834862,-0.0853909465020576,1.4207675206813066,1.186726659167604,1.5875370919881306,0.3143880059120981,0.2693069306930693,0.3798991074893287,0.5525378183869846,0.3504016064257028,0.7335058214747736,-0.3143880059120981,-0.3798991074893287,-0.2693069306930693,20,1.2994987177145498,1.4097194346445228,1.4053078702981063,1.4241070052141374,1.4505258837411146,1.4645275722554174
205,2022-05-26,2,0.2376276193678403,0.161660777385159,0.3039049235993208,-0.1992717690423331,-0.2634498058790904,-0.1320754716981132,1.4997138203566955,1.3043478260869563,1.7153614457831323,0.3028891001929646,0.2602212602212602,0.3527080581241744,0.7857135660222601,0.4645849200304646,1.052012929767852,-0.3028891001929646,-0.3527080581241744,-0.2602212602212602,25,1.2812758980253118,1.3670538818246565,1.3704604509265579,1.4024984018297373,1.4334472926431772,1.4467048125484132
120,2022-05-31,2,0.26433743109959,0.1791179117911791,0.3309189678587596,-0.1863690109913391,-0.2584902862227495,-0.0890619708770741,1.4601260686054391,1.195539033457249,1.6972,0.319956692056321,0.2638687891944042,0.3636363636363636,0.8661403911570501,0.5320855614973262,1.2079615648592998,-0.319956692056321,-0.3636363636363636,-0.2638687891944042,30,1.263053078336074,1.3254165301754826,1.3356492513386817,1.3774106212352473,1.4090134896686608,1.4195920932191797
204,2022-06-05,2,0.2783741997802404,0.1589871315898713,0.369622475856014,-0.1648706496814427,-0.2434354485776805,-0.0975877192982456,1.3968933603472258,1.2162818955042527,1.64352856109906,0.3454494255033539,0.2723091076356945,0.3997308209959623,0.7282299109710164,0.390896101245152,1.0133795837462836,-0.3454494255033539,-0.3997308209959623,-0.2723091076356945,35,1.2448302586468363,1.284807379697,1.3009155483499857,1.3492484359798087,1.378483344566503,1.3852095992773346
134,2022-06-10,2,0.2963148701669802,0.1581108829568788,0.3900955690703735,-0.1395667045468187,-0.2166597710660598,-0.0728660652324774,1.3265986617923022,1.157185628742515,1.5531690140845071,0.3538527988734719,0.2572447614801605,0.4154652686762778,0.7382032754129939,0.3570117474302496,1.039351851851852,-0.3538527988734719,-0.4154652686762778,-0.2572447614801605,40,1.2266074389575983,1.2452264303892095,1.2663006187759778,1.3184017645154205,1.3430121058716868,1.345331598978979
138,2022-06-20,2,0.3135244083029931,0.2292328642759873,0.3595406360424028,-0.0293145778612192,-0.1116942758733803,0.0175438596491228,1.061588514503149,0.9655172413793104,1.2514771048744462,0.2974437658649518,0.2571959145775301,0.3260105448154657,2.0416654286423097,0.9704321455648218,4.291925465838509,-0.2974437658649518,-0.3260105448154657,-0.2571959145775301,50,1.1901617995791225,1.169149135285704,1.1975921871340576,1.2501403662820882,1.261372196908022,1.2550645697508105
